producer,name,type,varietal,natural,vegan,sustainable,sweet,body,characteristics,description,price,url,imageUrl
Division Winemaking Co.,Division-Villages Methode Carbonique,red,Pinot Noir,Y,Y,Y,dry,light,red fruit fruity,"Using a traditional method from Beaujolais, this wine is youthful, fresh and ready to drink with gusto right now. It's all about its dusty, strawberry fruit flavour - a super approachable version of Pinot Noir. While it would be a great pre-dinner drink, the fruitiness would pair well with a light chicken or moroccan dish.",£28,https://www.pacificwines.co.uk/wine/division-villages-mthode-carbonique,https://www.pacificwines.co.uk/assets/images/products/32-2x.jpg
Division Winemaking Co.,"Division Pinot Noir ""un""",red,Pinot Noir,Y,Y,Y,dry,light,red fruit spice earthy,"There is a level of structure to this wine which comes from the careful techniques of the Division Winemaker Co. team. A deep spice and earthy undertone is matched with wild strawberries. Ready to drink now, but it has a few years of aging left on it. We'd recommend a dish with warm spices like cinnamon and nutmeg, and autumn vegetables.",£34,https://www.pacificwines.co.uk/wine/division-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/30-2x.jpg
Peter Franus,Brandlin Cabernet Mt Veeder,red,Cabernet Sauvignon,N,,,dry,full bodied,black fruit spice herbal,"Bold. Black fruit. Allspice. A real Napa Valley Cab Sauv if there ever was one. Put it on the table with a peppery steak or a rich, spiced aubergine dish It's structured tannins and acid mean we can predict this wine will sit happily in your rack or cellar for a good number of years.",£70,https://www.pacificwines.co.uk/wine/brandlin-cabernet-mt-veeder,https://www.pacificwines.co.uk/assets/images/products/102-2x.jpg
Austin Hope,Cabernet Sauvignon,red,Cabernet Sauvignon,N,,,dry,full bodied,black fruit,"Looking for something you can keep an eye on over the years? This Paso Robles Cab Sauv is bursting with black fruit flavours, it's powerful body and rich tannins balanced nicely by a well timed dash of acidity. Drink now with a rich dish such as a well aged steak, or keep for at least 5 years.",£59,,
Grgich Hills,Estate Zinfandel,red,Zinfandel,Y,,,dry,full bodied,"red fruit
spice earthy","Over the last 6 years this Zinfandel has had time to soften, round out some of its tannins and develop a bit of earthiness to it. But don't worry, those red fruit and spice flavours that are so beloved in Zinfandel are still there. This stays with you for some time after drinking it! Pair with a rich tomato based lasagne to match the acidity and slight sweetness.",£42,https://www.pacificwines.co.uk/wine/estate-zinfandel,https://www.pacificwines.co.uk/assets/images/products/68-2x.jpg
Grgich Hills,Estate Merlot 2014,red,Merlot,Y,,,dry,medium full,"red fruit
spice","Miljenko ""Mike"" Grgich gained international fame when the Chardonnay he produced outscored the best of France in the 1976 Judgement of Paris, shaking up the wine world (are really annoying France!). This Merlot, from their estate vineyards, is full of complex flavours of wild strawberries, spiced plums and anise wrapped up in a velvety texture which will have you gripped from the get go. Pair that ripe fruit with ratatouille or roast veal and peppercorn sauce.",£52,https://www.pacificwines.co.uk/wine/estate-merlot,https://www.pacificwines.co.uk/assets/images/products/130-2x.jpg
Division Winemaking Co.,"Division Chardonnay ""un""",white,Chardonnay,Y,Y,Y,dry,medium,"floral 
pear
stone fruit
minerality","The return to a more European style of Chardonnay is evident in this wine, the acid showing off and a generous mouthful of fruit coming through with each sip. Drink it now to enjoy this ad the saline notes running through it, or sit on it for a few years to see it develop. Either way, when you do open this bottle up, it would be amazing with poached scallops, a lemony salmon or a fresh bright salad.",£33,https://www.pacificwines.co.uk/wine/division-wine-chardonnay,https://www.pacificwines.co.uk/assets/images/products/31-2x.jpg
Birichino,Vin Gris Rose,rose,"Cinsault, Grenache, Mourvèdre",N,,,dry,light,"red fruit
herbal
minerality","Contrary to a lot of modern American Rosés, this one is bone-dry and textural. Think Provençal French. Strawberries, herbs and a touch of minterality comes through. Pair it with savory foods; charcuterie and aged cheeses for the perfect aperitif.",£20,https://www.pacificwines.co.uk/wine/vin-gris-rose,https://www.pacificwines.co.uk/assets/images/products/158-2x.jpg
Hahn Family Wines,Lucienne Smith Vineyard Pinot Noir,red,Pinot Noir,Y,,,dry,medium,"red fruit
black Fruit
mint","Hahn Family wines have been making wine since 1979, and shifted to growing Pinot Noir in the 90s when they realised the cooler climate of the highlands created the perfect climate for it. The Lucienne Smith Vineyard is their highest vineyard, at 590 to 1,280 feet above sea level. This wine is elegant and fragrant, with a streak of mint running through it.",£60,https://www.pacificwines.co.uk/wine/lucienne-smith-vineyard-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/27-2x.jpg
Hahn Family Wines,Boneshaker Zinfandel,red,Zinfandel,Y,,,dry,full bodied,"black fruit
red fruit
spice oak
clove earthy
leather","This wine really takes you on a journey! At first sniff you get dark fruits and spice welcoming you to drink, but when you do the red cherries and toasty leather associated with well looked-after old vines gives you that warm feeling you've always been looking for.  The Hahn family recommend having this with BBQ ribs or tri-tip roast, and grilled vegetables.",£27,https://www.pacificwines.co.uk/wine/boneshaker-zinfandel,https://www.pacificwines.co.uk/assets/images/products/132-2x.jpg
Hahn Family Wines,Founders Series GSM,red,"Grenache, Mourvèdre, Syrah",Y,,,off dry,full bodied,"black fruit
red fruit
spice
floral
pepper earthy
","Leading the way with its lovely aromatic character, this Rhone-style wine has a powerful, weighty feel to it. The definition of moreish! Pair this perfectly with a spiced pulled pork (or aubergine) dish, helping to bring out the spice and pepper in this amazing blend.",£18,https://www.pacificwines.co.uk/wine/founders-series-gsm,https://www.pacificwines.co.uk/assets/images/products/25-2x.jpg
Hahn Family Wines,SLH Estate Chardonnay,white,Chardonnay,Y,,,dry,full bodied,"citrus
apple pear
tropical fruit butterscotch
cream
butter","Just a smidge of New French Oak on this Chardonnay means the fresh fruit flavours are still all there for us to enjoy. Rounded and smooth, the Cali twist on this wine is gentle but clear. The body means it will stand up to a creamy starter or even a panna cotta for desert.",£30,https://www.pacificwines.co.uk/wine/slh-estate-chardonnay,https://www.pacificwines.co.uk/assets/images/products/26-2x.jpg
